Datetime,Open,High,Low,Close,Volume
1609441620000,28841.37000000,28841.37000000,28794.83000000,28805.67000000,32.69945100
1609441680000,28805.67000000,28806.58000000,28795.94000000,28798.87000000,20.87014700
1609441740000,28798.87000000,28838.15000000,28798.87000000,28823.81000000,34.93538200
1609441800000,28823.81000000,28839.94000000,28814.48000000,28821.74000000,20.11757500
1609441860000,28822.64000000,28850.00000000,28816.72000000,28837.75000000,32.74488100
1609441920000,28837.75000000,28839.45000000,28829.25000000,28837.43000000,16.23725200
1609441980000,28837.42000000,28851.92000000,28835.66000000,28838.04000000,33.59276000
1609442040000,28838.04000000,28838.04000000,28787.39000000,28791.07000000,39.61961400
1609442100000,28791.07000000,28829.66000000,28790.11000000,28820.30000000,18.58700800
1609442160000,28820.30000000,28835.00000000,28809.00000000,28834.03000000,19.50618100
1609442220000,28834.03000000,28869.99000000,28832.25000000,28869.99000000,101.79561400
1609442280000,28869.98000000,28900.00000000,28860.01000000,28894.29000000,93.03294300
1609442340000,28894.28000000,28900.00000000,28882.00000000,28890.00000000,31.35634900
1609442400000,28890.00000000,28928.85000000,28890.00000000,28927.35000000,60.44673500
1609442460000,28926.98000000,28939.26000000,28909.04000000,28939.26000000,57.70079200
1609442520000,28939.25000000,28943.92000000,28919.30000000,28934.66000000,40.36193600
1609442580000,28935.23000000,28938.71000000,28915.34000000,28925.12000000,37.76045000
1609442640000,28925.12000000,28933.65000000,28917.61000000,28925.62000000,21.43712000
1609442700000,28925.87000000,28939.67000000,28924.99000000,28934.72000000,28.23640200
1609442760000,28934.72000000,28935.00000000,28899.31000000,28906.98000000,29.39604600
1609442820000,28906.98000000,28906.98000000,28866.31000000,28893.60000000,33.95439300
1609442880000,28894.47000000,28910.59000000,28889.60000000,28890.83000000,16.48118200
1609442940000,28890.83000000,28931.06000000,28890.83000000,28926.39000000,24.07235700
1609443000000,28926.39000000,28947.32000000,28925.05000000,28947.32000000,43.93918100
1609443060000,28947.31000000,28968.00000000,28945.32000000,28966.00000000,78.31631800
1609443120000,28966.00000000,28976.37000000,28963.21000000,28974.97000000,31.17037200
1609443180000,28974.97000000,28999.00000000,28974.96000000,28985.11000000,76.98733800
1609443240000,28985.11000000,28987.50000000,28961.20000000,28975.27000000,37.49818200
1609443300000,28975.27000000,28975.27000000,28950.00000000,28955.37000000,24.99150600
1609443360000,28955.37000000,28994.04000000,28946.43000000,28960.96000000,38.22714300
1609443420000,28960.96000000,28963.15000000,28940.45000000,28960.73000000,18.61769200
1609443480000,28960.73000000,28974.66000000,28948.31000000,28958.11000000,22.01001100
1609443540000,28958.11000000,28958.11000000,28945.01000000,28945.01000000,14.89946300
1609443600000,28945.00000000,28945.00000000,28925.21000000,28928.99000000,48.10009200
1609443660000,28929.00000000,28950.00000000,28927.67000000,28941.99000000,25.52263500
1609443720000,28941.99000000,28942.00000000,28925.00000000,28926.74000000,21.44952200
1609443780000,28926.74000000,28935.85000000,28908.93000000,28927.52000000,28.76544300
1609443840000,28925.08000000,29000.00000000,28911.91000000,28922.53000000,88.05083600
1609443900000,28922.54000000,28930.65000000,28922.53000000,28924.69000000,11.11746100
1609443960000,28923.60000000,28927.86000000,28910.00000000,28911.91000000,23.06036900
1609444020000,28911.91000000,28912.04000000,28894.33000000,28903.95000000,37.45970400
1609444080000,28903.96000000,28929.77000000,28900.40000000,28918.37000000,21.16849600
1609444140000,28918.38000000,28950.00000000,28917.74000000,28941.30000000,22.69346800
1609444200000,28941.30000000,28941.30000000,28910.90000000,28926.28000000,21.40591200
1609444260000,28926.33000000,28943.10000000,28926.33000000,28930.63000000,17.66306400
1609444320000,28930.62000000,28967.41000000,28917.80000000,28959.60000000,107.34462000
1609444380000,28962.94000000,28987.98000000,28954.33000000,28976.86000000,73.34877000
1609444440000,28976.85000000,28988.00000000,28946.67000000,28971.69000000,37.78411500
1609444500000,28971.69000000,28971.69000000,28897.96000000,28897.96000000,24.76198800
1609444560000,28897.95000000,28928.56000000,28893.90000000,28906.35000000,25.81272000
1609444620000,28905.51000000,28905.85000000,28872.59000000,28874.09000000,67.68728600
1609444680000,28874.08000000,28890.00000000,28860.92000000,28889.98000000,29.81378700
1609444740000,28889.98000000,28908.23000000,28873.94000000,28897.83000000,27.33792600
1609444800000,28897.84000000,28917.26000000,28889.02000000,28915.18000000,20.90097100
1609444860000,28914.19000000,28927.00000000,28900.16000000,28923.20000000,17.17522100
1609444920000,28924.75000000,28927.29000000,28900.19000000,28902.61000000,14.52581300
1609444980000,28902.61000000,28911.27000000,28902.60000000,28906.33000000,11.70571400
1609445040000,28906.32000000,28906.33000000,28891.29000000,28897.87000000,18.67064000
1609445100000,28897.87000000,28901.84000000,28884.55000000,28886.03000000,21.68706300
1609445160000,28886.03000000,28899.56000000,28880.56000000,28894.15000000,13.52328400
1609445220000,28894.16000000,28923.51000000,28889.81000000,28916.57000000,32.44046900
1609445280000,28916.57000000,28920.60000000,28907.06000000,28916.32000000,13.47624900
1609445340000,28916.32000000,28952.86000000,28913.56000000,28933.76000000,30.54642200
1609445400000,28934.35000000,28968.70000000,28930.82000000,28968.69000000,22.61261500
1609445460000,28968.69000000,28982.61000000,28957.56000000,28975.17000000,28.87889800
1609445520000,28975.16000000,28986.98000000,28971.39000000,28984.37000000,20.63570300
1609445580000,28984.37000000,28986.71000000,28974.16000000,28983.29000000,20.48931300
1609445640000,28983.28000000,28989.97000000,28950.68000000,28967.10000000,45.82928300
1609445700000,28967.10000000,28968.71000000,28899.00000000,28904.10000000,27.16960200
1609445760000,28904.09000000,28904.09000000,28862.00000000,28894.14000000,31.78672100
1609445820000,28893.02000000,28915.75000000,28873.00000000,28914.47000000,29.68298400
1609445880000,28914.48000000,28930.64000000,28900.00000000,28900.00000000,31.25222700
1609445940000,28899.99000000,28919.87000000,28890.00000000,28918.39000000,22.85023200
1609446000000,28918.40000000,28919.87000000,28899.20000000,28904.97000000,34.12965400
1609446060000,28904.98000000,28914.02000000,28871.13000000,28879.65000000,29.69099100
1609446120000,28880.93000000,28903.89000000,28866.65000000,28890.61000000,24.83136700
1609446180000,28890.13000000,28922.51000000,28888.05000000,28909.39000000,39.55457200
1609446240000,28909.39000000,28925.67000000,28901.71000000,28922.09000000,19.12917300
1609446300000,28922.08000000,28922.09000000,28909.91000000,28917.44000000,16.30816100
1609446360000,28917.43000000,28921.13000000,28887.36000000,28891.94000000,9.55363100
1609446420000,28891.94000000,28903.15000000,28881.29000000,28898.36000000,19.28874300
1609446480000,28898.38000000,28900.96000000,28889.06000000,28891.69000000,7.24086100
1609446540000,28891.69000000,28915.92000000,28872.01000000,28886.60000000,26.78030700
1609446600000,28887.39000000,28898.97000000,28872.23000000,28876.11000000,17.40239300
1609446660000,28876.12000000,28902.37000000,28876.12000000,28900.98000000,27.24033700
1609446720000,28901.18000000,28910.34000000,28891.81000000,28903.51000000,20.06164300
1609446780000,28903.51000000,28913.97000000,28893.55000000,28896.09000000,12.59560500
1609446840000,28896.10000000,28915.79000000,28893.78000000,28908.44000000,13.78093400
1609446900000,28908.44000000,28923.37000000,28904.82000000,28922.74000000,21.51248100
1609446960000,28922.73000000,28922.73000000,28914.04000000,28919.98000000,22.88706100
